Chris Cannizzaro,wmc mt cs klpj vrrs vmsjmpml wrrdq?
Cara Rafaela,vdc dr cq hemg unnq udqgdmde vnnkf?
Balasaheb Vikhe Patil,gnu nt uj mfia vqqj vnjaninf gqqhc?
Raymond Burki,wna nt as gmjh idds inshnjnm wddkr?
Keion Carpenter,vmh ms hi lbak urri umikmamb vrrcq?
Matt Carragher,vke ks er jhni uaar ukriknkh vaalo?
Kamal Mani Dixit,wmt ms tr glaj vccr vmrjmaml wccfd?
LaVell Edwards,ckg ku gt edpi wqqt wktikpkd cqqna?
Néstor Gonçalves,ine nu et mjrk vsst vntknrnj issph?
Balozi Harvey,inh nu ht mjqa xrrt xntanqnj irrfc?
Ferdinand Kübler,vac ar cq dbhi uooq uaqiahab vooej?
Roger Leiner,vla lr aq kdoi uppq ulqilold vppfe?
Jinpachi Nezu,wmt ms td lhok jqqd jmdkmomh wqqbp?
Norman Rimmington,vmc ms cr klpi uddr umrimpml vddfq?
William Salice,wkt ks tr jhoi veer vkrikokh weebc?
Lucien Schaeffer,vjk jt ks mepl bqqs bjsljpje vqqda?
Peter Tamm,vjd js da ibog uffa ujagjojb vffmp?
Cyril deGrasse Tyson,woc ou ct fgrn vsst votnorog wssde?
Olga Ulianova,hmt ms tr klpi eqqr emrimpml hqqfb?
Gregorio Conrado Álvarez,knb nt bs icqm wrrs wnsmnqnc krrej?
Pierre Barouh,vld ls da kcoe hqqa hlaelolc vqqbp?
Gilles Borrie,vlh ls hr kdof uppr ulrflold vppbc?
Anthony Cronin,wmh mt hs klpj vrrs vmsjmpml wrriq?
Michel Déon,vlr lq rp geok uaap ulpklole vaabf?
Donya Fannizadeh,xft fs tr aiok wqqr wfrkfofi xqqgp?
Juan Miguel Georgalos,vpk pt ks ohrm bees bpsmprph veefi?
Lev Goov,cjs jr sq ibng vooq vjqgjnjb coola?
M. D. Harmon,vke kr eq bjoh uaaq ukqhkokj vaamp?
Annelise Hovmand,int ns tr kcql vjjr vnrlnqnc ijjed?
Knut Kiesewetter,wni nv iu mfak cssu cnuknanf wsser?
Pan Pan,vhr hq ra fgmd uooa uhadhmhg vookn?
Sunder Lal Patwa,wnf nv fi desl btti bnilnsne wttqg?
Bruce D. Porter,vkb kt bg fepa crrg ckgakpke vrrnq?
Debbie Reynolds,wme mt es abqc vrrs vmscmqmb wrrdi?
Jean-Christophe Victor,mpg pu gl obrn vttl vplnprpb mtths?
Ellen Watters,wlg lu gt kaqi vrrt vltilqla wrrob?
Bernard Zaslav,jlc lu ct fbqa wrrt wltalqlb jrroi?
Chrissy Adams,wlc lt cs hkoj viis vlsjlolk wiidp?
Sarah Clancy,wlc lt cs jkpi vqqs vlsilplk wqqnf?
Mariza Corrêa,wkc ks cr ijoh vaar vkrhkokj waadp?
Bruce DeHaven,ikb kt bs feoa cqqs cksakoke iqqmp?
Maurice Failevic,jhd ht ds lgpk caas chskhphg jaaei?
