btw		sbubtw
bun		sbunez
bun		sbunhw
bun		sbunkt
bun		sbunnq
bun		sbunqn
bun		sbuntk
bun		sbunwh
bun		sbunze
tet		sbutet
zen		sbuzen
kwh		seukwh
uwen		seuwen
wen		seuwen
hub		shubkz
hub		shubnw
hub		shubqt
hub		shubtq
hub		shubwn
hub		shubzk
ent		shuent
hun		shunbw
hun		shunet
net		shunet
hun		shunhq
hun		shunkn
hun		shunnk
hun		shunqh
hun		shunte
shunt		shunte
hun		shunwb
hut		shutbq
hut		shuten
ten		shuten
hut		shuthk
hut		shutkh
hut		shutne
hut		shutqb
skunk		skunkk
kut		skutbn
kut		skutek
kut		skuthh
kut		skutke
kut		skutnb
zee		skuzee
het		snuhet
nuk		snukbt
nuk		snukeq
nuk		snukhn
nuk		snukkk
nuk		snuknh
nuk		snukqe
nuk		snuktb
nut		snutbk
nut		snuteh
the		snuthe
nut		snuthe
nut		snutkb
wee		snuwee
enk		squenk
nek		squnek
web		squweb
tube		stubet
hen		stuhen
stuk		stukbn
tuk		stukbn
kek		stukek
stuk		stukek
tuk		stukek
stuk		stukhh
tuk		stukhh
stuk		stukke
tuk		stukke
stuk		stuknb
tuk		stuknb
tune		stuneh
stut		stutbe
tut		stutbe
stut		stuteb
tut		stuteb
stuw		stuwbb
een		swueen
ene		swuene
hek		swuhek
nee		swunee
ben		szuben
eek		szueek
neb		szuneb
